caldt,vwretd,vwretx
19500131,0.017764,0.015872
19500228,0.015234,0.008173
19500331,0.012742,0.007457
19500429,0.040678,0.038736
19500531,0.044173,0.036817
19500630,-0.058018,-0.062799
19500731,0.016122,0.014577
19500831,0.050875,0.040213
19500929,0.049044,0.044122
19501031,-0.001184,-0.002931
19501130,0.029056,0.012268
19501230,0.057946,0.051048
19510131,0.058735,0.056761
19510228,0.014086,0.007435
19510331,-0.021115,-0.025753
19510430,0.050061,0.048488
19510531,-0.022464,-0.029970
19510629,-0.025533,-0.029834
19510731,0.071611,0.070243
19510831,0.045004,0.036750
19510928,0.009087,0.005339
19511031,-0.022629,-0.024556
19511130,0.006193,-0.004035
19511231,0.035266,0.030241
19520131,0.017002,0.015420
19520229,-0.025141,-0.032328
19520331,0.045870,0.041726
19520430,-0.049148,-0.050847
19520529,0.032847,0.025367
19520630,0.039575,0.035588
19520731,0.011404,0.009897
19520829,-0.006733,-0.013803
19520930,-0.019147,-0.023065
19521031,-0.005309,-0.006960
19521128,0.059347,0.049762
19521231,0.031066,0.026399
19530130,-0.001644,-0.002728
19530227,-0.001820,-0.009109
19530331,-0.012862,-0.016681
19530430,-0.027705,-0.029126
19530529,0.006921,-0.000349
19530630,-0.016377,-0.020523
19530731,0.025111,0.023557
19530831,-0.044056,-0.051365
19530930,0.003010,-0.001313
19531030,0.047523,0.045928
19531130,0.028501,0.018445
19531231,0.000678,-0.004642
19540129,0.052722,0.051500
19540226,0.017551,0.010325
19540331,0.037377,0.033374
19540430,0.043162,0.041819
19540528,0.031704,0.025208
19540630,0.011560,0.007767
19540730,0.050668,0.049442
19540831,-0.022763,-0.029369
19540930,0.064633,0.061381
19541029,-0.016216,-0.017622
19541130,0.095387,0.086046
19541231,0.055469,0.051806
19550131,0.006838,0.006027
19550228,0.031354,0.025725
19550331,-0.000995,-0.004256
19550429,0.032352,0.031343
19550531,0.012033,0.006450
19550630,0.066108,0.063181
19550729,0.020246,0.019366
19550831,0.004197,-0.001579
19550930,-0.002009,-0.004543
19551031,-0.025752,-0.026812
19551130,0.071864,0.062697
19551230,0.016543,0.013390
19560131,-0.028119,-0.029475
19560229,0.039610,0.034439
19560329,0.068456,0.065641
19560430,0.005083,0.004136
19560531,-0.049309,-0.054848
19560629,0.037251,0.034540
19560731,0.050830,0.049531
19560831,-0.029820,-0.034965
19560928,-0.049608,-0.052064
19561031,0.007292,0.005534
19561130,0.004678,-0.002238
19561231,0.034957,0.031548
19570131,-0.032121,-0.033529
19570228,-0.018703,-0.024198
19570329,0.024112,0.020947
19570430,0.045179,0.043785
19570531,0.036679,0.031177
19570628,-0.005054,-0.007812
19570731,0.008938,0.007362
19570830,-0.050051,-0.055226
19570930,-0.057586,-0.060387
19571031,-0.041251,-0.043050
19571129,0.025605,0.018521
19571231,-0.037360,-0.041179
19580131,0.049595,0.048239
19580228,-0.014257,-0.020351
19580331,0.033700,0.030263
19580430,0.030833,0.029282
19580529,0.024582,0.019186
19580630,0.029493,0.026265
19580731,0.044844,0.043276
19580829,0.019181,0.014464
19580930,0.048680,0.045746
19581031,0.027184,0.025739
