caldt,vwretd,vwretx
19500131,0.019703,0.018245
19500228,0.019603,0.009975
19500331,0.008185,0.003542
19500429,0.045887,0.044493
19500531,0.046902,0.037590
19500630,-0.054224,-0.057849
19500731,0.022543,0.021533
19500831,0.048063,0.031526
19500929,0.059466,0.056510
19501031,0.005084,0.003425
19501130,0.022430,-0.000073
19501230,0.055425,0.051025
19510131,0.065105,0.063309
19510228,0.014546,0.004185
19510331,-0.017484,-0.019706
19510430,0.049108,0.047903
19510531,-0.029979,-0.040917
19510629,-0.025848,-0.028186
19510731,0.070935,0.070014
19510831,0.050220,0.038396
19510928,0.002245,0.000631
19511031,-0.013321,-0.015088
19511130,0.011388,-0.002574
19511231,0.041815,0.038467
19520131,0.017768,0.016303
19520229,-0.025241,-0.035743
19520331,0.052805,0.050655
19520430,-0.041423,-0.043268
19520529,0.033698,0.023274
19520630,0.047832,0.045795
19520731,0.019129,0.017659
19520829,-0.005674,-0.015007
19520930,-0.018085,-0.020098
19521031,0.000320,-0.001244
19521128,0.061382,0.048273
19521231,0.038215,0.035725
19530130,-0.006207,-0.006795
19530227,-0.007540,-0.017804
19530331,-0.022288,-0.024368
19530430,-0.025308,-0.026832
19530529,0.007401,-0.002730
19530630,-0.013950,-0.016113
19530731,0.026314,0.024844
19530831,-0.050101,-0.060097
19530930,0.002187,0.000072
19531030,0.051046,0.049806
19531130,0.023763,0.009879
19531231,0.001713,-0.001189
19540129,0.053486,0.052586
19540226,0.012916,0.002343
19540331,0.030530,0.028423
19540430,0.049358,0.048078
19540528,0.042777,0.033606
19540630,0.002479,0.000560
19540730,0.058701,0.057780
19540831,-0.025894,-0.034753
19540930,0.082500,0.080888
19541029,-0.017867,-0.018659
19541130,0.095774,0.082712
19541231,0.054288,0.052361
19550131,0.018076,0.017591
19550228,0.013526,0.005446
19550331,-0.002242,-0.003851
19550429,0.039843,0.038885
19550531,0.006433,-0.001081
19550630,0.081300,0.079930
19550729,0.057646,0.057068
19550831,-0.000648,-0.008313
19550930,0.011286,0.010117
19551031,-0.030468,-0.031000
19551130,0.087825,0.075124
19551230,-0.000309,-0.001685
19560131,-0.035057,-0.036279
19560229,0.041397,0.034458
19560329,0.070328,0.069226
19560430,-0.000637,-0.001425
19560531,-0.058414,-0.065976
19560629,0.038910,0.037762
19560731,0.051427,0.050619
19560831,-0.032788,-0.039976
19560928,-0.044022,-0.045127
19561031,0.006619,0.005298
19561130,-0.001921,-0.011161
19561231,0.036284,0.034442
19570131,-0.040238,-0.041569
19570228,-0.024919,-0.032823
19570329,0.021846,0.020405
19570430,0.046538,0.045215
19570531,0.038734,0.033208
19570628,-0.000707,-0.003633
19570731,0.009735,0.008204
19570830,-0.048857,-0.054030
19570930,-0.057879,-0.060609
19571031,-0.038834,-0.040549
19571129,0.023703,0.016483
19571231,-0.037415,-0.041014
19580131,0.045746,0.044554
19580228,-0.014154,-0.020339
19580331,0.033051,0.029736
19580430,0.033533,0.032058
19580529,0.021313,0.015503
19580630,0.028081,0.024988
19580731,0.043960,0.042418
19580829,0.017999,0.013270
19580930,0.050834,0.047948
19581031,0.027370,0.025878
19581128,0.028617,0.023385
19581231,0.054142,0.051463
19590130,0.006331,0.005395
19590227,0.006869,0.002373
19590331,0.003232,0.000701
19590430,0.040067,0.039105
19590529,0.023645,0.019058
19590630,-0.000725,-0.003196
19590731,0.034505,0.033514
19590831,-0.011076,-0.015179
19590930,-0.043182,-0.045586
19591030,0.012574,0.011436
19591130,0.018486,0.013114
19591231,0.029630,0.026915
19600129,-0.069933,-0.070835
19600229,0.013921,0.009133
19600331,-0.012531,-0.015201
19600429,-0.016119,-0.017102
19600531,0.033513,0.028312
19600630,0.021807,0.019139
19600729,-0.022960,-0.023822
19600831,0.031467,0.026197
19600930,-0.058713,-0.060920
19601031,-0.001294,-0.002581
19601130,0.046081,0.039977
19601230,0.048904,0.046653
19610131,0.064069,0.062927
19610228,0.032789,0.028560
19610330,0.029345,0.027051
19610428,0.004631,0.003936
19610531,0.023553,0.018924
19610630,-0.026682,-0.028733
19610731,0.033795,0.033119
19610831,0.024742,0.019519
19610929,-0.018704,-0.019907
19611031,0.028210,0.026826
19611130,0.045226,0.039324
19611229,0.004691,0.003461
19620131,-0.037394,-0.038729
19620228,0.020706,0.016258
19620330,-0.003842,-0.005137
19620430,-0.061747,-0.062446
19620531,-0.079847,-0.085499
19620629,-0.080669,-0.082222
19620731,0.065203,0.063969
19620831,0.021669,0.015803
19620928,-0.048871,-0.050312
19621031,0.008586,0.006700
19621130,0.108268,0.100528
19621231,0.015534,0.014040
19630131,0.050346,0.048936
19630228,-0.024189,-0.029164
19630329,0.036527,0.035104
19630430,0.049070,0.048177
19630531,0.019674,0.013844
19630628,-0.018577,-0.019782
19630731,-0.001821,-0.003131
19630830,0.053447,0.048482
19630930,-0.010376,-0.011554
19631031,0.034799,0.033264
19631129,-0.004487,-0.011085
19631231,0.026078,0.024660
19640131,0.027540,0.026516
19640228,0.016788,0.011941
19640331,0.017232,0.015814
19640430,0.006205,0.005310
19640528,0.016779,0.011424
19640630,0.018084,0.016779
19640731,0.018915,0.017958
