caldt,vwretd,vwretx
19500331,0.046434,0.031812
19500630,0.023602,0.009347
19500929,0.120187,0.101941
19501230,0.087396,0.060824
19510331,0.050979,0.037201
19510629,0.000264,-0.013279
19510928,0.130012,0.115499
19511231,0.018106,0.000887
19520331,0.036911,0.023594
19520630,0.020951,0.007866
19520930,-0.014640,-0.027014
19521231,0.086458,0.069975
19530331,-0.016279,-0.028295
19530630,-0.037009,-0.049383
19530930,-0.017102,-0.030294
19531231,0.078110,0.060275
19540331,0.111236,0.097812
19540630,0.088675,0.076377
19540930,0.093114,0.081145
19541231,0.137399,0.122180
19550331,0.037374,0.027515
19550630,0.113843,0.103578
19550930,0.022469,0.013134
19551230,0.061537,0.048051
19560329,0.079543,0.069849
19560629,-0.008882,-0.018158
19560928,-0.031082,-0.039899
19561231,0.047381,0.034934
19570329,-0.027323,-0.037161
19570628,0.078039,0.067919
19570930,-0.096754,-0.105742
19571231,-0.053439,-0.065462
19580331,0.069498,0.057983
19580630,0.087321,0.076582
19580930,0.116725,0.106781
19581231,0.114839,0.104736
19590331,0.025207,0.017135
19590630,0.058952,0.050844
19590930,-0.024455,-0.031900
19591231,0.063608,0.054059
19600331,-0.064925,-0.072716
19600630,0.041557,0.032858
19600930,-0.050410,-0.058240
19601230,0.094341,0.084389
19610330,0.137096,0.128799
19610630,0.002283,-0.004775
19610929,0.036471,0.029352
19611229,0.074790,0.066374
19620330,-0.021946,-0.028782
19620629,-0.213514,-0.220048
19620928,0.035698,0.027073
19621231,0.125761,0.114491
19630329,0.062645,0.054460
19630628,0.049177,0.041182
19630930,0.038372,0.030982
19631231,0.044220,0.034541
19640331,0.061843,0.054266
19640630,0.037504,0.029880
19640930,0.039368,0.032138
19641231,0.015720,0.006986
19650331,0.035699,0.028506
19650630,-0.024225,-0.031505
19650930,0.081651,0.074063
19651231,0.046410,0.037445
19660331,-0.017597,-0.024632
19660630,-0.039024,-0.046641
19660930,-0.093638,-0.101309
19661230,0.067137,0.056853
19670331,0.145022,0.136221
19670630,0.027603,0.019888
19670929,0.078344,0.070750
19671229,0.013286,0.005203
19680329,-0.063968,-0.071034
19680628,0.136688,0.128525
19680930,0.039875,0.032796
19681231,0.031893,0.024442
19690328,-0.031316,-0.037991
19690630,-0.043448,-0.050718
19690930,-0.039243,-0.046555
19691231,0.001577,-0.006675
19700331,-0.025334,-0.033111
19700630,-0.205636,-0.213242
19700930,0.181533,0.171001
19701231,0.093947,0.084360
19710331,0.117727,0.109529
19710630,-0.001185,-0.008382
19710930,-0.004502,-0.011665
19711231,0.045541,0.037475
19720330,0.069873,0.062829
19720630,0.000615,-0.006048
19720929,0.023647,0.017053
19721229,0.070776,0.063424
19730330,-0.073084,-0.079243
19730629,-0.076124,-0.083186
19730928,0.077550,0.069555
19731231,-0.105905,-0.114455
19740329,-0.018050,-0.026477
19740628,-0.099209,-0.108342
19740930,-0.243841,-0.253298
19741231,0.087834,0.072837
19750331,0.242203,0.228535
19750630,0.161493,0.150055
19750930,-0.115510,-0.124649
19751231,0.079201,0.067851
19760331,0.163560,0.152898
19760630,0.025975,0.015997
19760930,0.016935,0.007103
19761231,0.042135,0.030661
19770331,-0.063043,-0.072988
19770630,0.043312,0.031332
19770930,-0.028512,-0.039420
19771230,0.009309,-0.003935
19780331,-0.037157,-0.049670
19780630,0.091468,0.077835
19780929,0.092097,0.079748
19781229,-0.060668,-0.073936
19790330,0.084743,0.070728
19790629,0.039696,0.025784
19790928,0.080958,0.068085
19791231,0.013749,-0.000121
19800331,-0.055673,-0.067683
19800630,0.152703,0.137862
19800930,0.120642,0.107679
19801231,0.088141,0.076025
19810331,0.017390,0.005697
19810630,-0.012537,-0.023933
19810930,-0.114394,-0.125524
19811231,0.075945,0.061998
19820331,-0.084157,-0.097295
19820630,-0.009779,-0.024248
19820930,0.115641,0.099989
19821231,0.187901,0.173565
19830331,0.103155,0.090488
19830630,0.122936,0.111614
19830930,-0.003824,-0.014030
19831230,-0.002817,-0.013535
19840330,-0.030612,-0.041341
19840629,-0.025617,-0.037340
19840928,0.095489,0.083509
19841231,0.015525,0.003686
19850329,0.097959,0.086458
19850628,0.072759,0.061842
19850930,-0.043991,-0.053925
19851231,0.164792,0.152997
19860331,0.139691,0.129530
19860630,0.053107,0.044062
19860930,-0.066879,-0.074832
19861231,0.043660,0.033138
19870331,0.206352,0.197124
19870630,0.038122,0.029577
19870930,0.062012,0.053854
19871231,-0.227387,-0.235685
19880331,0.072481,0.061066
19880630,0.064049,0.054127
19880930,0.002351,-0.007813
19881230,0.027230,0.014742
19890331,0.070326,0.059835
19890630,0.085469,0.075041
19890929,0.100478,0.090617
19891229,0.011914,0.003062
19900330,-0.033167,-0.041712
19900629,0.052332,0.042395
19900928,-0.135705,-0.143678
19901231,0.082432,0.071307
19910328,0.145548,0.135937
19910628,-0.000881,-0.009305
19910930,0.056515,0.048249
19911231,0.079900,0.071292
19920331,-0.018445,-0.025649
19920630,0.011238,0.003470
19920930,0.029717,0.022080
19921231,0.056781,0.049019
19930331,0.047272,0.039902
19930630,0.006702,-0.000475
19930930,0.032023,0.024982
19931231,0.020130,0.013094
19940331,-0.039130,-0.045762
19940630,-0.001514,-0.008920
19940930,0.049690,0.042451
19941230,-0.009996,-0.017500
19950331,0.089639,0.082147
19950630,0.083320,0.076032
19950929,0.082765,0.075441
19951229,0.054961,0.048346
19960329,0.058342,0.052248
19960628,0.037150,0.031206
19960930,0.027577,0.021490
19961231,0.072573,0.066514
19970331,0.017812,0.012583
19970630,0.162688,0.157065
19970930,0.083051,0.078065
19971231,0.030687,0.025887
19980331,0.125671,0.121170
19980630,0.015139,0.011034
19980930,-0.128825,-0.132846
19981231,0.193608,0.188695
19990331,0.016597,0.012651
19990630,0.077034,0.072438
19990930,-0.084608,-0.088354
19991231,0.103111,0.098904
20000331,0.008028,0.004156
20000630,-0.006000,-0.009817
20000929,0.039554,0.035767
20001229,-0.007732,-0.011531
20010330,-0.091464,-0.094793
20010629,0.050538,0.046617
20010928,-0.120155,-0.123996
20011231,0.090666,0.085982
20020328,0.020586,0.016599
20020628,-0.106372,-0.110275
20020930,-0.159405,-0.163688
20021231,0.067379,0.061637
20030331,-0.035968,-0.040939
20030630,0.161404,0.155116
20030930,0.023814,0.018611
20031231,0.128299,0.122389
20040331,0.035814,0.031152
20040630,0.006447,0.000979
20040930,-0.000895,-0.005733
20041231,0.094005,0.088245
20050331,-0.006642,-0.011572
20050630,0.021771,0.016188
20050930,0.047770,0.042782
20051230,0.021330,0.015741
20060331,0.056902,0.051769
20060630,-0.006840,-0.012533
20060929,0.043546,0.038379
20061229,0.073724,0.067615
20070330,0.021577,0.016486
20070629,0.061683,0.055779
20070928,0.015339,0.010284
20071231,-0.031593,-0.037201
20080331,-0.080998,-0.086114
20080630,-0.011988,-0.018121
20080930,-0.103337,-0.108818
20081231,-0.236381,-0.243037
20090331,-0.114982,-0.123430
20090630,0.176274,0.168041
20090930,0.170020,0.163229
20091231,0.052849,0.046266
20100331,0.062240,0.056432
20100630,-0.107101,-0.112424
20100930,0.117595,0.110475
20101231,0.112038,0.104813
20110331,0.066697,0.061221
20110630,-0.006972,-0.012554
20110930,-0.167910,-0.173026
20111230,0.123220,0.115485
20120330,0.106310,0.099606
20120629,-0.033777,-0.040215
20120928,0.064596,0.057745
20121231,0.013862,0.005440
20130328,0.109826,0.103351
20130628,0.014553,0.008107
20130930,0.051322,0.045055
20131231,0.091382,0.085027
20140331,0.022493,0.016657
20140630,0.050418,0.044292
20140930,-0.014912,-0.020493
20141231,0.033857,0.027608
20150331,0.008262,0.002364
20150630,-0.007446,-0.013459
20150930,-0.086165,-0.091959
20151231,0.042292,0.035376
20160331,0.023719,0.016612
20160630,0.041173,0.034447
20160930,0.024755,0.018365
20161230,0.048123,0.041436
20170331,0.041502,0.035311
20170630,0.024283,0.018045
20170929,0.040725,0.034146
20171229,0.059101,0.052749
20180329,-0.026958,-0.032747
20180629,0.025185,0.018845
20180928,0.059914,0.053690
20181231,-0.130388,-0.136397
