caldt,vwretd,vwretx
19501230,0.304730,0.217426
19511231,0.209441,0.142646
19521231,0.133324,0.074015
19531231,0.003843,-0.050273
19541231,0.504120,0.433636
19551230,0.254135,0.204040
19561231,0.085817,0.043745
19571231,-0.103484,-0.140687
19581231,0.447759,0.392664
19591231,0.126462,0.090692
19601230,0.012089,-0.021911
19611229,0.269605,0.233137
19621231,-0.103122,-0.132913
19631231,0.208876,0.170997
19641231,0.163038,0.128491
19651231,0.143859,0.109939
19661230,-0.086888,-0.116818
19671229,0.285666,0.247259
19681231,0.141689,0.109209
19691231,-0.108362,-0.135110
19701231,0.000731,-0.034063
19711231,0.161989,0.128146
19721229,0.173406,0.142560
19731231,-0.174960,-0.200460
19741231,-0.272406,-0.304614
19751231,0.377225,0.320685
19761231,0.265153,0.215832
19771230,-0.041493,-0.085244
19781229,0.078069,0.024213
19791231,0.235870,0.172975
19801231,0.327370,0.264415
19811231,-0.042720,-0.088371
19821231,0.201871,0.137053
19831230,0.230559,0.179018
19841231,0.050814,0.003615
19851231,0.311592,0.258423
19861231,0.168844,0.127206
19871231,0.027577,-0.007226
19881230,0.175003,0.126119
19891229,0.293774,0.246417
19901231,-0.048153,-0.083611
19911231,0.305840,0.263766
19921231,0.080118,0.048306
19931231,0.109956,0.079325
19941230,-0.002978,-0.031379
19951229,0.348374,0.312812
19961231,0.209786,0.182127
19971231,0.321010,0.295783
19981231,0.188240,0.168432
19991231,0.105616,0.087973
20001229,0.033560,0.017984
20011231,-0.084091,-0.098710
20021231,-0.181701,-0.196937
20031231,0.293361,0.266553
20041231,0.139471,0.116806
20051230,0.086155,0.063888
20061229,0.176138,0.151366
20071231,0.066436,0.043887
20081231,-0.378294,-0.394672
20091231,0.282389,0.246098
20101231,0.178770,0.150388
20111230,-0.009994,-0.033338
20121231,0.153766,0.122401
20131231,0.291941,0.261247
20141231,0.093851,0.068640
20151231,-0.046799,-0.070297
20161230,0.144816,0.115320
20171229,0.175855,0.147479
20181231,-0.080546,-0.103241
